Species,Population,Lat,Long,Max_SVL,Mass,SVL_Fmat,SVL_hatchling,Clutch_size,n_Clutch_size,Reproductive_mode,Clutch_freq,RCM,Foraging_mode,Distribution,Habitat,Presence_Phylogeny,genus,species
Cyclodomorphus_melanops,Australia,-28.35,124.71,132,52.8,109,53.5,3,1,Viviparous,1,0.186,Active,Temperate,Terrestrial,0,Cyclodomorphus,melanops
Trachylepis_quinquetaeniata,"Livingstone, Zambia",-17.86,25.86,151,81.5,87,NA,4.8,NA,Oviparous,2,NA,Active,Tropical,Saxicolous,1,Trachylepis,quinquetaeniata
Plestiodon_egregius,Levy county,29.32,-82.82,62,1.7,40,20.6,4.8,NA,Oviparous,1,NA,Active,Temperate,Fossorial,1,Plestiodon,egregius
Plestiodon_copei,"Parque nacional de zoquiapan, Mexico",19.69,-98.7,76,8.9,NA,NA,3.5,NA,Viviparous,1,NA,Sit and wait,Temperate,Terrestrial,1,Plestiodon,copei
Plestiodon_fasciatus,"Aiken, South Carolina",33.56,-81.72,86,13.2,52,24,5.9,NA,Oviparous,1,0.36,Active,Temperate,Terrestrial,1,Plestiodon,fasciatus
Plestiodon_skiltonianus,San Bernardino,34.11,-117.29,86,13.2,58,NA,4.4,NA,Oviparous,1,NA,Active,Temperate,Fossorial,1,Plestiodon,skiltonianus
Plestiodon_septentrionalis,Ninnesota,46.73,-94.69,90,15.3,NA,25.5,8.8,NA,Oviparous,1,NA,Active,Temperate,Fossorial,1,Plestiodon,septentrionalis
Plestiodon_latiscutatus,Miyake-jima,34.08,139.53,96,18.9,72,NA,7.6,NA,Oviparous,1,NA,Active,Temperate,Terrestrial,1,Plestiodon,latiscutatus
Brachymeles_boulengeri,Salter Springs,-34.18,138.63,106.8,26.6,45,NA,3.7,NA,Oviparous,1,NA,Active,Temperate,Terrestrial,1,Brachymeles,boulengeri
Plestiodon_laticeps,"Aiken, South Carolina",33.56,-81.72,143,68.3,85,31.4,13.7,NA,Oviparous,1,0.341,Active,Temperate,Terrestrial,1,Plestiodon,laticeps
Plestiodon_obsoletus,University of Kansas Natural History Reservation,38.96,-95.24,143,68.3,107,NA,11.4,NA,Oviparous,1,NA,Active,Temperate,Fossorial,1,Plestiodon,obsoletus
Xantusia_vigilis,"Antelope Valley, Mojave Desert",34.75,-118.25,70,6.7,NA,NA,1.8,NA,Viviparous,1,NA,Sit and wait,Temperate,Terrestrial,1,Xantusia,vigilis
Xantusia_riversiana,"San Clemente Island, California",32.9,-118.5,117,32.2,75,NA,3.8,NA,Viviparous,1,0.268,Sit and wait,Temperate,Terrestrial,1,Xantusia,riversiana
