Species,Population,Lat,Long,Max_SVL,Mass,SVL_Fmat,SVL_hatchling,Clutch_size,n_Clutch_size,Reproductive_mode,Clutch_freq,RCM,Foraging_mode,Distribution,Habitat,Presence_Phylogeny,genus,species
Tropidurus_hispidus,"Exu, 1977",-7.51,-39.71,139.1,87.7,NA,NA,6,95,Oviparous,2,NA,Sit and wait,Tropical,Saxicolous,1,Tropidurus,hispidus
Tropidurus_spinulosus,"Alto Araguaia, 1989",-17.31,-53.22,140,89.2,NA,NA,4,21,Oviparous,2,NA,Sit and wait,Tropical,Arboreal,1,Tropidurus,spinulosus
Uranoscodon_superciliosus,"Cemex, Para, 95",-3.15,-54.83,166,141.8,129,52,8.6,5,Oviparous,1,NA,Sit and wait,Tropical,Arboreal,1,Uranoscodon,superciliosus
Plica_plica,"Cemex, Para, 95",-3.15,-54.83,177,168.8,122,50,2.7,3,Oviparous,1,0.096,Sit and wait,Tropical,Arboreal,1,Plica,plica
Alopoglossus_atriventris,"Rio Ituxi, 1997",-8.33,-65.72,55,3.7,46,26.6,2,2,Oviparous,1,0.113,Active,Tropical,Terrestrial,1,Alopoglossus,atriventris
Alopoglossus_angulatus,"Acre, 1996",-8.26,-72.78,64,6.1,56,24.5,2,7,Oviparous,1,0.091,Active,Tropical,Terrestrial,1,Alopoglossus,angulatus
Cercosaura_argulus,"Brazil, Amazonas, 1998-1999",-3.52,-59.9,50,2.7,36,25.6,NA,NA,Oviparous,1,NA,Active,Tropical,Semiarboreal,1,Cercosaura,argulus
Cercosaura_eigenmanni,PEGM 1998,-10.32,-64.56,52,3.1,45.8,18.7,2,9,Oviparous,1,0.1,Active,Tropical,Terrestrial,1,Cercosaura,eigenmanni
Potamites_juruazensis,"Acre, 1996",-8.26,-72.78,58,4.4,48,24,2,11,Oviparous,1,NA,Active,Tropical,Aquatic,1,Potamites,juruazensis
Cercosaura_ocellata,"Acre, 1996",-8.26,-72.78,65,6.4,53,26,2,3,Oviparous,1,0.095,Active,Tropical,Terrestrial,1,Cercosaura,ocellata
Potamites_ecpleopus,"Tingo Maria, Peru",-9.3,-76,84,15,50,21.5,2,NA,Oviparous,2,NA,Active,Tropical,Terrestrial,1,Potamites,ecpleopus
Leposoma_osvaldoi,PEGM 1998,-10.32,-64.56,37,1,32.8,23,1.8,4,Oviparous,1,0.135,Active,Tropical,Terrestrial,1,Leposoma,osvaldoi
