species,id,height_low,height_high,flowerheads_per_plant,floweringstems_per_plant,plant_northing,plant_easting
ARTFRI,197,15,42,2690,38,5192285.503,692637.389
ARTFRI,198,9,35.5,3780,49,5192287.717,692639.902
ARTFRI,199,11,37.5,1200,20,5192283.949,692640.715
ARTFRI,200,25,45,450,9,5192288.762,692639.925
ARTFRI,1b,23,49,850,14,5192294.741,692641.314
ARTFRI,2b,26,48,580,17,5192283.554,692643.287
ARTFRI,4b,14,17.5,290,10,5192286.673,692659.304
ARTFRI,5b,14,38,1140,37,5192291.115,692661.903
ARTFRI,6b,8,25,260,6,5192291.207,692662.508
ARTFRI,7b,19,46.5,1140,27,5192286.192,692663.568
ARTFRI,8b,23,42,1560,33,5192286.456,692663.692
ARTFRI,9b,17,37.5,460,7,5192285.676,692664.412
ARTFRI,10b,12,31,760,32,5192283.309,692668.078
ARTFRI,11b,10,31,360,14,5192283.528,692668.226
ARTFRI,12b,11,45,2050,59,5192284.129,692668.078
ARTFRI,13b,9,32,720,11,5192279.394,692669.71
ARTFRI,14b,11,33,660,17,5192280.833,692670.846
ARTFRI,15b,13,35,570,10,5192277.598,692669.444
ARTFRI,3b,11,19,120,2,5192274.442,692661.986
ARTFRI,17b,17,30.5,370,12,5192283.973,692677.179
ARTFRI,18b,12.5,40,1770,46,5192285.341,692679.136
ARTFRI,19b,14.5,25,750,14,5192284.056,692678.103
ARTFRI,20b,10,33,790,18,5192283.113,692677.215
ARTFRI,21b,13,28,250,8,5192282.796,692677.5
ARTFRI,22b,19,30.5,220,4,5192282.292,692677.893
ARTFRI,23b,10.5,32,420,14,5192282.311,692678.287
ARTFRI,24b,8.5,38.5,1670,44,5192282.718,692678.098
ARTFRI,25b,14,39,1800,48,5192281.24,692678.415
ARTFRI,26b,18,33,890,24,5192277.86,692681.993
ARTFRI,27b,14.5,34,1030,23,5192277.67,692681.664
ARTFRI,28b,14,35,700,17,5192277.178,692682.458
ARTFRI,16b,16,43.5,3470,43,5192288.72,692676.143
ARTFRI,29b,9.5,44,1180,19,5192276.987,692682.011
ARTFRI,72b,16.5,32,30,5,5192331.612,692627.528
ARTFRI,73b,11,20,40,1,5192331.772,692627.77
ARTFRI,70b,12,33.5,1030,19,5192330.946,692627.67
ARTFRI,71b,2,41.5,1170,25,5192330.846,692627.251
ARTFRI,76b,6.5,40,630,16,5192336.689,692660.437
ARTFRI,e20,NA,NA,1200,25,5192338.098,692634.043
ARTFRI,74b,11.5,36,660,19,5192325.342,692644.17
ARTFRI,75b,8,37.5,790,21,5192328.777,692651.717
ARTFRI,40b,17,45.5,1340,25,5192327.091,692615.688
ARTFRI,41b,14.5,38.5,350,7,5192319.415,692611.708
ARTFRI,38b,9.5,25,630,29,5192325.952,692614.23
ARTFRI,39b,13,39,1690,62,5192326.006,692614.885
ARTFRI,32b,21.5,40,280,5,5192312.74,692605.81
ARTFRI,33b,16,41,210,7,5192315.08,692605.184
ARTFRI,34b,13.5,50.5,1530,28,5192321.912,692606.707
ARTFRI,31b,10,42,670,15,5192316.574,692608.299
ARTFRI,e3,12,24,70,NA,5192327.01,692613.717
ARTFRI,36b,7,21,100,4,5192327.052,692613.789
ARTFRI,37b,10,20.5,30,3,5192326.495,692614.695
ARTFRI,35b,13,35.5,200,6,5192326.636,692613.859
ARTFRI,45b,9,31.5,360,11,5192318.616,692613.441
ARTFRI,42b,11,50,1920,31,5192323.217,692619.333
ARTFRI,43b,6,13.5,230,5,5192324.849,692622.909
ARTFRI,49b,10.5,31.5,580,12,5192317.312,692615.207
ARTFRI,46b,12,29.5,560,27,5192318.111,692613.484
ARTFRI,47b,12,29,120,7,5192318.573,692614.742
ARTFRI,44b,8,38,620,17,5192318.749,692614.16
ARTFRI,48b,9.5,28,230,11,5192317.915,692615.012
ARTFRI,61b,13,30,290,12,5192317.601,692643.377
ARTFRI,57b,20,35,250,13,5192318.011,692633.321
ARTFRI,62b,10,22,80,4,5192309.023,692634.705
ARTFRI,63b,8,32,350,5,5192308.843,692634.91
ARTFRI,56b,10.5,39,2310,73,5192317.475,692630.688
ARTFRI,59b,6,39,450,12,5192322.125,692631.135
ARTFRI,60b,10,30,440,10,5192321.29,692631.499
ARTFRI,65b,10.5,32.5,610,12,5192308.226,692634.927
ARTFRI,66b,17,32,620,17,5192308.141,692634.9
ARTFRI,67b,3,29.5,670,13,5192308.181,692641.152
ARTFRI,58b,4,44.5,2150,63,5192322.524,692630.657
ARTFRI,69b,7,47,1210,29,5192307.87,692640.602
ARTFRI,55b,11.5,37.5,2120,51,5192316.682,692629.836
ARTFRI,51b,10,31.5,310,11,5192311.807,692622.993
ARTFRI,64b,8,39,1090,24,5192308.059,692634.346
ARTFRI,53b,8,37.5,1500,38,5192314.05,692620.32
ARTFRI,50b,18,35.5,80,2,5192311.45,692622.737
ARTFRI,68b,5.5,35,340,11,5192307.832,692640.844
ARTFRI,54b,11,34,180,3,5192313.358,692620.456
ARTFRI,52b,15,33,1200,26,5192312.025,692622.733
ARTFRI,271b,8,50,2270,28,5192360.7,692629.306
ARTFRI,272b,3,40,2870,49,5192382.607,692595.427
ARTFRI,270b,6,37,1280,38,5192360.03,692628.847
ARTFRI,269b,10,44,1920,50,5192350.145,692622.216
ARTFRI,e24,NA,NA,280,17,5192383.736,692624.861
ARTFRI,385b,8,37,670,20,5192421.353,692625.559
ARTFRI,383b,6,43,1080,58,5192420.726,692625.753
ARTFRI,384b,4,36,1100,66,5192420.7,692626.038
ARTFRI,273b,16,46,1870,63,5192393.608,692616.859
ARTFRI,376b,2,37,1260,40,5192412.29,692625.527
ARTFRI,386b,9,52.5,1350,39,5192421.201,692624.881
ARTFRI,387b,NA,NA,300,9,5192421.758,692624.617
ARTFRI,379b,1,7,80,1,5192411.636,692627.236
ARTFRI,e25,NA,31,840,37,5192412.14,692625.547
ARTFRI,382b,19,39,310,9,5192411.949,692627.675
ARTFRI,378b,1,43,3270,190,5192412.233,692626.404
ARTFRI,e26,NA,NA,270,9,5192415.537,692621.611
ARTFRI,380b,16,32,280,6,5192411.781,692627.423
ARTFRI,377b,13,NA,110,9,5192412.064,692625.557
ARTFRI,e27,NA,NA,120,3,5192421.8,692624.496
ARTFRI,381b,12,27,510,12,5192412.032,692627.638
ARTFRI,279b,19,39,430,17,5192454.253,692637.932
ARTFRI,277b,16,49,1290,49,5192454.473,692639.705
ARTFRI,278b,11,42,650,27,5192453.648,692636.086
ARTFRI,274b,13,28.5,340,29,5192433.847,692623.954
ARTFRI,276b,18,36,70,1,5192454.143,692639.397
ARTFRI,275b,14,35,200,9,5192434.208,692624.467
ARTFRI,368b,8,50,1280,78,5192406.974,692690.369
ARTFRI,367b,8,50,2430,53,5192402.735,692693.36
ARTFRI,371b,10,41,1230,48,5192412.623,692677.095
ARTFRI,369b,16,27,240,2,5192408.676,692693.257
ARTFRI,372b,8,58,5790,118,5192413.85,692676.904
ARTFRI,374b,15,42,490,17,5192416.583,692669.723
ARTFRI,370b,10,25,180,5,5192409.588,692692.42
ARTFRI,373b,2,36,2030,72,5192410.489,692691.439
ARTFRI,375b,18,42,580,32,5192418.729,692671.501
ARTFRI,224b,15,47,240,6,5192184.01,692716.936
ARTFRI,223b,20,44,360,17,5192185.268,692719.197
ARTFRI,221b,27,47,350,15,5192187.901,692715.075
ARTFRI,226b,15,45,540,15,5192183.142,692722.686
ARTFRI,225b,29,33,50,1,5192183.884,692717.196
ARTFRI,222b,16,47.5,580,12,5192185.681,692717.093
ARTFRI,220b,14,43,820,22,5192189.398,692716.605
ARTFRI,227b,6.5,39,370,12,5192181.889,692723.871
ARTFRI,357b,16,38,260,13,5192345.111,692753.305
ARTFRI,353b,16,42,170,7,5192346.406,692742.255
ARTFRI,356b,7,36,310,17,5192343.33,692753.333
ARTFRI,355b,4,33,450,24,5192343.613,692753.105
ARTFRI,345b,13,39,150,4,5192311.505,692757.629
ARTFRI,358b,10,16,20,1,5192346.271,692755.995
ARTFRI,359b,6,39,270,6,5192347.429,692755.924
ARTFRI,349b,23,34,260,10,5192330.397,692754.845
ARTFRI,346b,1,35,950,29,5192314.802,692756.898
ARTFRI,347b,14,36,11,3,5192314.457,692755.927
ARTFRI,348b,7,37,680,26,5192323.286,692754.131
ARTFRI,352b,20,37,380,11,5192346.54,692741.979
ARTFRI,350b,6,34,280,16,5192336.93,692754.633
ARTFRI,351b,18,28,35,2,5192338.553,692750.677
ARTFRI,354b,11,37,210,14,5192343.611,692752.72
