species,id,height_low,height_high,flowerheads_per_plant,floweringstems_per_plant,plant_northing,plant_easting
ARTFRI,112,13,45.5,1100,19,5192222.822,692658.386
ARTFRI,113,16,42,730,21,5192225.899,692653.178
ARTFRI,114,21,53.5,2100,32,5192227.029,692652.964
ARTFRI,115,16.5,27,180,7,5192229.608,692650.087
ARTFRI,214b,8,41,260,8,5192231.895,692699.305
ARTFRI,215b,16,37,560,15,5192231.161,692699.687
ARTFRI,216b,7,42,800,19,5192229.231,692706.279
ARTFRI,217b,15,50,640,13,5192228.149,692707.214
ARTFRI,218b,10,51,670,22,5192227.506,692705.912
ARTFRI,219b,11,50,690,17,5192226.596,692707.99
ARTFRI,109,25,35.5,60,2,5192243.24,692639.164
ARTFRI,116,22.5,47,1050,17,5192242.551,692637.703
ARTFRI,117,11,27,120,5,5192252.54,692617.805
ARTFRI,118,16,30,160,5,5192253.014,692617.933
ARTFRI,119,19,44,470,12,5192249.527,692619.129
ARTFRI,120,19.5,38,130,4,5192248.325,692642.898
ARTFRI,121,8,33,410,20,5192246.36,692656.179
ARTFRI,122,8,33,660,12,5192248.861,692668.225
ARTFRI,123,11,33,280,3,5192248.99,692668.596
ARTFRI,124,18,39,400,16,5192248.178,692668.802
ARTFRI,163b,11,19,270,18,5192318.24,692689.829
ARTFRI,174b,13,31,100,4,5192307.482,692693.749
ARTFRI,172b,15,49,930,21,5192308.509,692692.213
ARTFRI,173b,13,34,720,25,5192308.146,692693.064
ARTFRI,169b,6,28,1390,35,5192314.13,692689.577
ARTFRI,171b,10,31,520,19,5192309.495,692691.239
ARTFRI,164b,11,59,1820,36,5192317.294,692690.611
ARTFRI,165b,8,42,730,29,5192316.336,692689.717
ARTFRI,170b,6,26,1870,45,5192311.362,692689.932
ARTFRI,166b,15,41,1080,36,5192316.276,692690.187
ARTFRI,167b,12,52,820,28,5192316.212,692691.227
ARTFRI,168b,14,43,1750,46,5192316.089,692691.386
ARTFRI,107b,3.5,40,690,32,5192307.162,692686.543
ARTFRI,102b,2,21.5,720,16,5192315.134,692678.556
ARTFRI,104b,3.5,40,3420,91,5192314.623,692679.676
ARTFRI,106b,11,33,300,13,5192304.308,692677.187
ARTFRI,103b,3,38,1150,24,5192314.946,692678.786
ARTFRI,105b,22,43,380,6,5192324.085,692673.464
ARTFRI,101b,13.5,24.5,150,2,5192316.873,692677.248
ARTFRI,110b,10,39,300,3,5192317.223,692684.693
ARTFRI,316b,12,45,570,18,5192344.319,692684.952
ARTFRI,77b,13,41.5,1160,52,5192330.615,692675.195
ARTFRI,78b,18,53.5,570,20,5192331.923,692674.77
ARTFRI,323b,20,30,50,2,5192333.677,692693.984
ARTFRI,140b,11,38,510,12,5192321.899,692694.074
ARTFRI,141b,26,42,360,16,5192322.251,692694.279
ARTFRI,e6,19,29,100,NA,5192322.986,692691.329
ARTFRI,142b,21,30.5,180,6,5192322.092,692694.507
ARTFRI,143b,6.5,20,370,13,5192322.939,692693.046
ARTFRI,e5,5,11.5,40,NA,5192323.533,692690.473
ARTFRI,144b,2,34.5,1020,25,5192323.955,692691.688
ARTFRI,109b,13,26,130,7,5192307.684,692686.313
ARTFRI,319b,7,17,360,13,5192342.86,692688.686
ARTFRI,320b,17,21,80,5,5192342.667,692689.052
ARTFRI,321b,19,21,5,1,5192335.876,692694.299
ARTFRI,322b,11,34,600,21,5192333.962,692693.57
ARTFRI,113b,9,42,1020,26,5192320.435,692686.684
ARTFRI,114b,11,32.5,240,6,5192321.858,692687.645
ARTFRI,115b,13,44.5,2110,62,5192323.257,692682.404
ARTFRI,116b,11,51,970,17,5192323.581,692683.742
ARTFRI,117b,12,32,560,15,5192324.202,692683.865
ARTFRI,118b,14,41,1560,43,5192324.077,692685.059
ARTFRI,119b,3,33,640,24,5192320.883,692691.156
ARTFRI,120b,4,42,2200,46,5192319.934,692694.056
ARTFRI,108b,11,36,140,5,5192307.714,692686.163
ARTFRI,145b,13,21,120,6,5192324.939,692689.851
ARTFRI,146b,10.5,29,260,9,5192324.705,692691.332
ARTFRI,111b,10.5,37,1160,38,5192321.449,692683.253
ARTFRI,112b,7,31,810,23,5192318.495,692686.074
ARTFRI,85b,6.5,37.5,1020,17,5192328.46,692661.545
ARTFRI,86b,11,33.5,500,20,5192327.925,692663.801
ARTFRI,87b,12,40.5,930,22,5192327.975,692661.882
ARTFRI,88b,9,29,80,4,5192328.006,692660.692
ARTFRI,89b,9,33,290,4,5192327.328,692661.814
ARTFRI,90b,2,41,2420,40,5192327.488,692666.392
