access,unknown_A1,unknown_1,amide_1,amide_12,amide_2,unknown_2,amide_3,amide_13,unknown_A2,amide_14,unknown_B1,amide_5,amide_4,unknown_B2,unknown_A4,amide_7,unknown_B3,unknown_A6,amide_16,unknown_3,amide_15,unknown_4,amide_17,unknown_B6,unknown_C2,amide_8,amide_9,unknown_C3,unknown_D1,unknown_D2,unknown_B7,unknown_5,unknown_C4,unknown_D3,amide_10,unknown_A7,unknown_B8,ketone_24,amide_11,unknown_7,unknown_8,unknown_A8,unknown_9
Pal275,0,0,0.039437407,0.083539541,0.031584444,0.008119669,0.034820556,0.084168615,0,0.013061158,0,0.100923519,0,0.13096878,0,0,0.011487202,0,0.007213662,0,0.031843333,0,0.003353388,0,0.01700037,0.265361111,2.432390556,0.009233704,0,0,0.197827342,0,0.043622778,0,0.140231481,0.014929259,0,0,0.509709074,0,0,0.014282037,0
Pal290,0,0,0.009760909,0,0.175611409,0.025782474,0.026761176,0,0,0,0,0.00386106,0.026602672,0,0.011453684,0.016288555,0,0,0,0,0,0,0,0,0,0,0,0,0.136036862,0.004808106,0.043576777,0,0,0.02154613,0,0,0,0.105601129,0.003649722,0,0.095704984,0,0.017920208
Pal293,0,0,0.016611471,0,0.092491417,0.008018971,0.007933918,0,0,0,0,0.009744601,0.024074311,0,0.007725568,0.008317772,0,0,0,0,0,0,0,0,0,0,0,0,0.241614079,0.005671387,0.028403442,0,0,0.011628443,0,0,0,0.225853648,0,0,0.123457567,0,0.017547414
Pal296,0,0,0.009656244,0,0.270359858,0.015376363,0.021467143,0,0,0,0,0.003820235,0.10287731,0,0.015974435,0.011031895,0,0,0,0,0,0,0,0,0,0,0,0,0.15441917,0.006456412,0.093217588,0,0,0.021589346,0,0,0,0.207737971,0,0,0.202331154,0,0.020586356
ParaNeg263,0,0,0.003057305,0,0.074168897,0.011980894,0.023041211,0,0,0,0,0.002955735,0.107341313,0,0.004630003,0,0,0,0,0.002250856,0.024875694,0.01329766,0,0,0,0,0,0,0.062536735,0.002553564,0,0.002630557,0,0.026142716,0,0,0,0.261710168,0,0,0.014273496,0,0.033160937
ParaNeg264,0,0,0.001844968,0,0.039461738,0.008461855,0.011540527,0,0,0,0,0.003593649,0.029101649,0,0.003283774,0,0,0,0,0.018846005,0.010523679,0.014289851,0,0,0,0,0,0,0.087936124,0.005346923,0.001962918,0.006070856,0,0.024358147,0,0,0,0.467647038,0,0,0.050049639,0,0.03779547
ParaNeg265,0,0,0.004018258,0,0.088564529,0.009988951,0.003749509,0,0,0,0,0.001628657,0.051035372,0,0.006846293,0,0,0,0,0.002033961,0.013426501,0.010155148,0,0,0,0,0,0,0.109966556,0.005027579,0,0.01076827,0,0.011377279,0,0,0,0.398184574,0,0,0.104769996,0,0.039831974
ParaPara292,0,0,0.01005562,0,0.407913193,0.014383405,0.020636954,0,0,0,0,0,0.165811697,0,0.030637783,0.005332705,0,0,0,0.003911687,0.065699491,0,0,0,0,0,0.018690446,0,0.146940409,0.01432837,0,0,0,0.050251286,0,0,0,0.526610828,0,0,0.035607721,0,0.052626571
ParaPara301,0,0,0.005348316,0,0.201962099,0,0.027481261,0,0,0,0,0,0.148263201,0,0.022552099,0.014958025,0,0,0,0.001663121,0.073925106,0,0,0,0,0,0,0,0.073293012,0.006922741,0,0,0,0.028835464,0,0,0,0.36145142,0,0,0.039083004,0,0.023460265
ParaPara321,0,0,0.0076669,0,0.347197407,0,0.026851619,0,0,0,0,0,0.1740231,0,0.017534685,0.007033362,0,0,0,0.001825013,0.089961074,0,0,0,0,0,0.030220202,0,0.119658087,0.014720935,0,0,0,0.030541723,0,0,0,0.659241327,0,0,0.029135036,0,0.038150106
Pur307,0,0,0.46208071,0,1.012676764,0.023886345,0.159565961,0,0,0,0,0.220969885,1.082119599,0,0.175977668,0.328819709,0,0.059046186,0,0.030641695,0,0,0,0,0.129896473,0.458628858,0.295693232,0,0,0,0,0,0,0,0.076690697,0,0,0,0.044154938,0,0,0,0
Pur313,0,0,0.056133203,0,0.696299434,0.016017077,0.912964052,0,0.019898911,0,0,0.058387059,1.388091155,0,0.047929978,0.313214946,0,0.074164052,0,0.005759614,0,0,0,0,0.022508105,0.024142658,0.258980261,0,0,0,0,0,0,0,0.019685708,0,0,0,0.01328963,0,0,0,0
Pur504,0,0,0.659870794,0,0.317200529,0.020310691,1.646521005,0,0.106945767,0,0,0.220708942,0.108536085,0,0.024261587,0.288956984,0,0.047561587,0,0.017663024,0,0,0,0,0.052147619,0.057066508,0.433158095,0,0,0,0.029585347,0,0,0,0.06687963,0,0,0,0.061701852,0,0,0,0
Sang257,0.011817715,0,0.085523382,0.154115091,0.012146391,0.006088298,0.25616943,0.03990253,0,0.206059557,0,0.022006681,0.013100903,0,0,0.029475063,0.011536393,0,0.006651136,0,0,0,0.041802751,0.011378323,0,0.467964179,1.830521164,0,0,0,0.098730844,0,0.036846643,0,0.06726271,0,0.018324722,0,0.031895111,0.003053494,0,0,0
Sang258,0.015551437,0,0.205448119,0.415817143,0.045565479,0.009968081,0.462736086,0.150165007,0,0.44070029,0,0.051592857,0.062178594,0,0,0.081506033,0.048127215,0,0.020676434,0,0,0,0.118234855,0.028634515,0,0.87187881,3.268910601,0,0,0,0.206707569,0,0.060206538,0,0.107825541,0,0.024797997,0,0.077485625,0.01719634,0,0,0
Sang878,0.020784659,0,0.374329798,0.285458882,0.122736869,0.011374008,0.406985101,0.23602934,0,0.317556171,0,0.054057765,0.08519798,0,0,0.064192677,0.02838806,0,0.017802713,0,0,0,0.048217285,0.006096628,0,0.767840909,2.60305423,0,0,0,0.124414782,0,0.062574621,0,0.11395524,0,0.020699177,0,0.095112247,0.022958277,0,0,0
Simu249,0,0,0.010663431,0.011313624,0.180142207,0,0.07551,0.007550121,0,0.001503979,0,0.016241275,0.104655639,0,0.009807196,0.015801299,0,0,0,0,0,0,0,0,0,0.030680226,0.056699335,0,0.074096787,0.001387112,0.085883836,0,0,0.010488109,0,0,0,0.055343507,0.013570001,0,0.026073673,0,0
Simu304,0,0,0.004968209,0,0.159116916,0,0.017983185,0,0,0,0,0,0.064129736,0,0.01529009,0.007000426,0,0,0,0,0,0,0,0,0,0,0.016888473,0,0.099252438,0.004063252,0.00897836,0,0,0.018224481,0,0,0,0.091836115,0,0,0.04183523,0,0
Simu308,0,0,0.007674398,0,0.147597818,0,0.080212199,0,0,0,0,0.014097365,0.051810896,0,0.007262654,0.028271578,0,0,0,0,0,0,0,0,0,0,0.018651487,0,0.060909054,0.001829587,0.00701068,0,0,0.010943883,0,0,0,0.106702283,0,0,0.04552675,0,0
Tenn250,0,0,0.018402424,0.268534263,0.016812853,0.016010635,0.01679144,0.597622904,0,0.061880643,0.015862732,0,0,0.014158927,0,0,0.062746076,0,0.031012168,0,0,0,0.011268868,0.001674534,0,0.054391364,0.062956422,0,0,0,0,0,0,0,0.059594692,0,0,0,0.038508004,0,0,0,0
Tenn324,0,0,0.006301476,0.579525466,0.019586115,0.013288766,0.025603061,1.080482142,0,0.148455085,0.070311597,0,0,0.021990686,0,0,0.057302588,0,0.084570512,0,0,0,0.047694761,0.005780007,0,0.207751411,0.227152647,0,0,0,0,0,0,0,0.054935438,0,0,0,0.050637784,0,0,0,0
Tenn325,0,0,0.037983119,0.224551827,0.009108672,0.011603508,0.0186704,1.195187711,0,0.070122293,0.04295156,0,0,0.009643215,0,0,0.087637453,0,0.098789633,0,0,0,0.014466958,0,0,0.024243375,0.038648973,0,0,0,0.013411282,0,0,0,0.013296739,0,0,0,0.015107491,0,0,0,0
Tenn326,0,0,0.004355362,0.156845311,0.012598183,0.014413432,0.022273415,1.102947354,0,0.109024349,0.029797868,0,0,0.011603202,0,0,0.11989982,0,0.075652161,0,0,0,0.025031815,0.002960192,0,0.007153801,0.0676946,0,0,0,0.013246632,0,0,0,0.042145066,0,0,0,0.020691735,0,0,0,0
